id,age,gender,region,income,married,children,car,Loan_Approval
1,-48,FEMALE,,17546,N,1,NO,YES
2,40,MALE,,30085.1,Y,3,YES,NO
3,51,FEMALE,INNER_CITY,-16575.4,YES,0,YES,NO
4,-23,FEMALE,TOWN,,Y,3,NO,NO
5,57,FEMALE,RURAL,50576.3,YES,0,NO,NO
6,57,FEMALE,TOWN,-37869.6,YES,2,NO,YES
7,22,MALE,,8877.07,NO,0,NO,YES
8,-58,MALE,TOWN,-24946.6,YES,0,YES,NO
9,37,FEMALE,SUBURBAN,,YES,2,YES,NO
10,54,MALE,TOWN,-24212.1,YES,2,YES,NO
11,-66,FEMALE,TOWN,-59803.9,YES,0,NO,NO
12,52,FEMALE,INNER_CITY,,N,0,YES,NO
13,44,FEMALE,,15735.8,YES,1,NO,YES
14,66,FEMALE,TOWN,-55204.7,YES,1,YES,YES
15,36,MALE,RURAL,19474.6,YES,0,NO,NO
16,38,FEMALE,INNER_CITY,,Y,0,YES,NO
17,-37,FEMALE,TOWN,17729.8,YES,2,NO,NO
18,46,FEMALE,,41016,YES,0,NO,NO
19,62,FEMALE,INNER_CITY,26909.2,YES,0,NO,YES
20,-31,MALE,TOWN,,YES,0,YES,NO
21,-61,MALE,,-57880.7,Y,2,NO,YES
22,50,MALE,TOWN,16497.3,YES,2,NO,NO
23,54,MALE,INNER_CITY,38446.6,YES,0,NO,NO
24,27,FEMALE,TOWN,15538.8,NO,0,YES,NO
25,22,MALE,INNER_CITY,12640.3,NO,2,YES,NO
26,56,MALE,INNER_CITY,41034,YES,0,YES,NO
27,45,MALE,INNER_CITY,20809.7,YES,0,NO,NO
28,39,FEMALE,TOWN,20114,YES,1,NO,YES
29,39,FEMALE,INNER_CITY,29359.1,NO,3,YES,NO
30,61,MALE,RURAL,-24270.1,YES,1,NO,YES
31,61,FEMALE,RURAL,22942.9,YES,2,NO,NO
32,20,FEMALE,TOWN,16325.8,YES,2,NO,NO
33,45,MALE,SUBURBAN,23443.2,YES,1,YES,YES
34,33,FEMALE,INNER_CITY,29921.3,NO,3,YES,NO
35,43,MALE,SUBURBAN,37521.9,NO,0,NO,YES
36,27,FEMALE,INNER_CITY,19868,YES,2,NO,NO
37,19,MALE,RURAL,10953,YES,3,YES,NO
38,36,FEMALE,RURAL,13381,NO,0,YES,YES
39,43,FEMALE,TOWN,18504.3,YES,0,YES,NO
40,66,FEMALE,SUBURBAN,25391.5,NO,2,NO,NO
41,55,MALE,TOWN,26774.2,YES,0,NO,YES
42,47,FEMALE,INNER_CITY,26952.6,YES,0,YES,NO
43,67,MALE,TOWN,55716.5,NO,2,YES,YES
44,32,FEMALE,TOWN,27571.5,YES,0,YES,NO
